대학,최종,수학,수과,국영수과
C대학,불합격,3.60 ,4.24 ,4.25 
C대학,불합격,4.40 ,4.16 ,4.36 
C대학,불합격,5.00 ,4.69 ,4.56 
C대학,불합격,5.60 ,5.07 ,4.60 
C대학,불합격,4.20 ,5.21 ,5.07 
C대학,불합격,5.40 ,4.86 ,5.13 
C대학,불합격,5.40 ,5.53 ,5.20 
C대학,불합격,5.80 ,5.20 ,5.32 
C대학,불합격,4.00 ,5.02 ,5.32 
C대학,불합격,5.40 ,6.18 ,5.92 
B대학,합격,5.20 ,4.24 ,4.03 
B대학,합격,4.40 ,4.07 ,4.21 
B대학,합격,3.60 ,4.24 ,4.25 
B대학,합격,4.40 ,4.16 ,4.36 
B대학,합격,4.20 ,4.57 ,4.40 
B대학,합격,5.00 ,4.69 ,4.56 
B대학,합격,5.60 ,5.07 ,4.60 
B대학,합격,5.00 ,4.92 ,4.63 
B대학,합격,5.00 ,5.01 ,5.06 
B대학,불합격,4.20 ,5.21 ,5.07 
B대학,불합격,5.40 ,4.86 ,5.13 
B대학,불합격,4.80 ,5.20 ,5.14 
B대학,불합격,6.00 ,5.43 ,5.18 
B대학,불합격,5.40 ,5.53 ,5.20 
B대학,불합격,5.80 ,5.79 ,5.26 
B대학,불합격,5.40 ,4.93 ,5.30 
B대학,합격,4.00 ,5.02 ,5.32 
B대학,불합격,4.40 ,5.15 ,5.44 
B대학,불합격,4.80 ,5.31 ,5.47 
B대학,불합격,6.40 ,5.99 ,5.52 
B대학,불합격,5.60 ,5.62 ,5.86 
B대학,불합격,7.00 ,6.38 ,5.86 
B대학,불합격,5.40 ,6.18 ,5.92 
B대학,불합격,6.40 ,6.23 ,6.30 
B대학,불합격,6.40 ,6.35 ,6.35 
B대학,불합격,7.60 ,6.99 ,7.00 
A대학,합격,4.40 ,4.07 ,4.21 
A대학,합격,3.60 ,4.24 ,4.25 
A대학,합격,4.40 ,4.16 ,4.36 
A대학,합격,4.20 ,4.57 ,4.40 
A대학,불합격,5.00 ,4.69 ,4.56 
A대학,합격,5.60 ,5.07 ,4.60 
A대학,불합격,5.00 ,4.92 ,4.63 
A대학,불합격,5.00 ,5.01 ,5.06 
A대학,불합격,4.20 ,5.21 ,5.07 
A대학,불합격,5.40 ,4.86 ,5.13 
A대학,불합격,4.80 ,5.20 ,5.14 
A대학,합격,5.40 ,5.53 ,5.20 
A대학,합격,5.80 ,5.79 ,5.26 
A대학,불합격,5.40 ,4.93 ,5.30 
A대학,합격,5.80 ,5.20 ,5.32 
A대학,불합격,4.00 ,5.02 ,5.32 
A대학,합격,4.40 ,5.15 ,5.44 
A대학,불합격,5.60 ,5.62 ,5.86 
A대학,불합격,7.00 ,6.38 ,5.86 
A대학,불합격,5.40 ,6.18 ,5.92 
A대학,불합격,6.60 ,6.35 ,6.18 
A대학,불합격,6.40 ,6.23 ,6.30 
A대학,불합격,6.40 ,6.35 ,6.35 
A대학,불합격,6.40 ,7.08 ,6.73 
A대학,불합격,7.60 ,6.99 ,7.00 
E대학,합격,4.60 ,3.76 ,3.34 
E대학,합격,3.80 ,4.11 ,3.68 
E대학,불합격,1.80 ,3.44 ,3.74 
E대학,합격,3.80 ,4.10 ,3.83 
E대학,불합격,5.20 ,4.24 ,4.03 
E대학,불합격,4.20 ,3.95 ,4.19 
E대학,불합격,4.40 ,4.07 ,4.21 
E대학,불합격,3.60 ,4.24 ,4.25 
E대학,불합격,4.20 ,4.57 ,4.40 
F대학,합격,4.60 ,3.76 ,3.34 
F대학,합격,3.80 ,4.11 ,3.68 
F대학,합격,1.80 ,3.44 ,3.74 
F대학,합격,3.80 ,4.10 ,3.83 
F대학,합격,4.20 ,4.41 ,3.95 
F대학,합격,4.80 ,4.40 ,3.98 
F대학,불합격,5.20 ,4.24 ,4.03 
F대학,합격,4.20 ,3.95 ,4.19 
F대학,합격,4.40 ,4.07 ,4.21 
F대학,합격,3.60 ,4.24 ,4.25 
F대학,불합격,4.40 ,4.16 ,4.36 
F대학,합격,4.20 ,4.57 ,4.40 
F대학,불합격,5.60 ,5.07 ,4.60 
F대학,불합격,5.40 ,4.86 ,5.13 
